,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
176,2015-09-01,779.879804167,2869.88352833,,4.89888583333,12164.2359683,4764.35241583,275.769655,3468.19666667
177,2015-10-01,769.789206667,2815.61333667,,4.69545833333,12170.3834133,4842.60006833,278.082465833,3458.21375
178,2015-11-01,734.528071667,2819.50144333,,4.58384583333,12007.3726608,4838.6616775,278.3187125,3330.1685
179,2015-12-01,667.498083333,2828.9173825,,4.29420083333,11923.2719475,4834.46397417,280.721125833,3305.55216667
180,2016-01-01,582.0669175,2854.86712667,,3.81936416667,11865.4248525,4816.96820833,280.542230833,3325.15658333
181,2016-02-01,523.5064425,2860.10944833,,3.4407125,11705.4048683,4711.15810083,280.682684167,3324.3845
182,2016-03-01,452.0430325,2878.36072083,,3.31419833333,11572.1810083,4633.228255,279.5761825,3323.602
183,2016-04-01,436.987119167,2886.75970833,,3.127215,11570.8387025,4643.10578833,277.336231667,3321.45366667
184,2016-05-01,458.89452,2904.67500917,,3.153785,11692.9604258,4686.16111667,280.787145,3357.21908333
185,2016-06-01,529.526455833,2911.44659833,,3.15689916667,11762.0622967,4653.21217333,280.840189167,3381.9795
186,2016-07-01,570.4324075,2900.26932833,,2.9963225,11719.4209583,4576.0392575,281.0973325,3386.85925
187,2016-08-01,607.271618333,2886.65204167,,2.93952583333,11737.7464692,4549.73585833,284.953789167,3404.55683333
188,2016-09-01,629.8385275,2839.98148667,7.78384,2.9497925,11676.8197133,4504.8919175,287.858865,3409.80666667
189,2016-10-01,652.759888333,2733.85496667,9.83598666667,2.93457833333,11548.2258975,4437.94228,290.638530833,3428.79191667
190,2016-11-01,689.791750833,2678.548145,11.1259991667,2.9125175,11618.71081,4427.95849667,292.373235833,3526.02825
191,2016-12-01,745.581585,2624.31064083,12.174265,2.8011375,11647.2761058,4428.39693,295.522016667,3549.76308333
192,2017-01-01,769.7769175,2620.0334275,15.0573541667,2.97565583333,11663.68751,4415.30523833,300.528995,3554.33108333
193,2017-02-01,746.426578333,2723.47397833,16.6500933333,5.67413416667,11854.3906775,4514.09497,303.003375833,3561.09066667
194,2017-03-01,763.865174167,2707.71824833,18.3071758333,5.44540416667,11850.7509567,4535.64772167,306.525734167,3530.99125
195,2017-04-01,768.925780833,2694.80923917,20.7670791667,5.25374583333,11802.1377767,4510.475835,312.5392,3509.76008333
196,2017-05-01,780.082654167,2696.42121333,23.7001375,5.19621666667,11788.7331883,4546.58864917,315.366060833,3444.887
197,2017-06-01,761.651033333,2692.99539333,26.86347,5.01418416667,11815.628625,4635.77714917,319.159675833,3400.86033333
198,2017-07-01,772.9404675,2724.70025,30.1905333333,5.2290425,11931.6652133,4704.02631417,322.836479167,3401.77333333
199,2017-08-01,777.7145075,2710.89949417,31.5466941667,5.54302416667,11965.7099758,4739.62528583,323.327184167,3408.44883333
200,2017-09-01,790.507959167,2715.23112833,33.2634858333,5.5713425,12017.20325,4771.34860667,323.749074167,3410.63691667
201,2017-10-01,819.351363333,2750.88206833,34.3207166667,5.91388727273,12133.7129467,4851.03332667,323.931824167,3382.76125
202,2017-11-01,840.247565833,2715.712695,34.6729983333,5.88401545455,12110.4945142,4921.9557,324.446184167,3302.42741667
203,2017-12-01,866.241808333,2710.64756583,34.17176,5.97818636364,12102.8353233,4917.50928583,321.7156475,3280.94941667
204,2018-01-01,921.539794167,2648.64722833,32.21522,5.98251636364,12082.4227983,4898.99307417,318.916111667,3288.56891667
205,2018-02-01,980.097241667,2588.62048083,32.3424383333,2.76548090909,12025.4044492,4825.26007167,319.067441667,3309.5675
206,2018-03-01,991.981731818,2611.98036636,33.3189581818,3.077375,12228.5520009,4944.94671636,320.358941818,3356.23445455
207,2018-04-01,999.183662,2641.644527,33.470356,3.23735222222,12405.400986,5021.86553,320.856256,3418.66
208,2018-05-01,1007.98731667,2689.56753444,32.9653377778,3.492805,12568.7664478,5064.84764111,323.77658,3479.17444444
209,2018-06-01,1024.91071625,2714.66429125,31.939565,3.85468428571,12605.8495787,5033.87849125,322.14061375,3506.535875
210,2018-07-01,1046.84653429,2635.06561,29.9903542857,3.75148333333,12499.0304629,5006.09246286,319.017735714,3488.39628571
