,DateTime,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
200,2017-09-01,32.1832625,5.53258545455,20.104145,523.110738333,0.42475,445.857878333,0.0,10.9386975
201,2017-10-01,31.43062,5.75416,20.2888425,519.491618333,0.42325,441.878665,0.0,11.1746908333
202,2017-11-01,31.0183958333,5.84801636364,23.1447857143,524.960388333,0.423083333333,447.86937,0.0,11.2582108333
203,2017-12-01,27.8421941667,5.73844909091,26.8035383333,523.272528333,0.430416666667,449.395286667,0.0,11.1625125
204,2018-01-01,22.782345,5.814844,,501.144891667,0.433916666667,433.67143,0.0,10.9829441667
205,2018-02-01,18.2605558333,5.814844,,479.687993333,0.454833333333,427.643225833,0.0,11.0247866667
206,2018-03-01,19.6876663636,6.08124444444,,487.345891818,0.451090909091,432.827222727,0.0,11.2095154545
207,2018-04-01,21.978722,6.30235625,,482.021761,0.4201,424.784145,0.0,11.282025
208,2018-05-01,24.4208022222,6.40371571429,,480.939074444,0.397555555556,420.01519,0.0,11.2712222222
209,2018-06-01,26.6793925,6.42693666667,,482.59186875,0.408,418.58367875,0.0,11.21690625
210,2018-07-01,24.9426371429,,,494.170792857,0.427857142857,432.402627143,0.0,10.8448685714
