,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Geothermal,Nuclear
86,2008-03-01,1989.95766583,190.03853,54.5316941667,14.0546875,17060.1910833,437.195144167,9858.68855917,128.826035833,2056.13140083,1069.00797583,2617.94633333
87,2008-04-01,2060.81894917,190.303875833,54.4783975,14.4204866667,17102.4609417,436.544534167,9824.50696333,126.899508333,2060.10189083,1071.63048417,2625.62466667
88,2008-05-01,2060.28099583,187.674809167,54.61605,14.47705,16940.073165,441.946194167,9598.9996625,124.5393175,2069.42682833,1073.00570417,2693.58091667
89,2008-06-01,2100.50006333,187.284214167,54.98143,14.2801966667,16972.4583825,442.788265,9549.75598333,124.421146667,2072.662095,1073.2315,2727.88625
90,2008-07-01,2151.5939925,184.667846667,53.33299,14.86605,16909.0299642,458.808046667,9393.86788833,124.1255125,2087.46896333,1069.60039833,2747.29858333
91,2008-08-01,2181.95130833,181.306240833,53.7500308333,14.8737816667,17027.9252142,473.680291667,9474.99946,124.1220775,2105.60346917,1068.52463833,2739.384
92,2008-09-01,2148.2472475,176.988575833,53.7828741667,15.6526733333,16952.5949775,476.205995,9426.28584417,123.258103333,2108.00621417,1067.40826833,2748.59558333
93,2008-10-01,2192.85928917,174.2216725,53.4877175,15.196685,17116.426145,482.3669525,9529.65524333,122.4631575,2114.32350833,1066.3614325,2759.07866667
94,2008-11-01,2250.0539525,172.839508333,53.5455983333,14.9535775,17049.8629242,491.387945,9467.93177917,121.935691667,2124.5691075,1064.83790667,2684.96075
95,2008-12-01,2287.6370875,172.441496667,53.8824783333,15.04133,17046.05633,492.461041667,9450.18649333,119.6526575,2127.45103833,1065.56536083,2660.08658333
96,2009-01-01,2324.0030275,170.828906667,53.9491316667,11.384635,17064.6776875,486.651104167,9455.28789333,117.18607,2128.30513417,1071.06524917,2646.98366667
97,2009-02-01,2343.94994833,171.127683333,53.97045,10.7744708333,17126.1782883,486.676585,9490.84228333,114.056611667,2129.71332417,1071.5997275,2653.26775
